1,"操控价格是指:()<P>(1)订立结果可维持抬高降低稳定证券价格或引致该等证券价格出现波动的虚售交易</P><P>(2)某关连人士掌握有关消息,并利用有关消息进行交易或促使他人进行交易</P><P>(3)某些经营全权委托户口的基金经理与中介人,利用他们所管理的基金或全权委托户口大量落盘,从而获取高佣金收入</P><P>(4)蓄意或罔顾后果地订立或履行结果可维持抬高降低稳定证券或期货合约价格或引致该等证券或期货合约价格出现波动的虚构或非真实交易或手段</P>
","<P>A.(1)(2)</P>
<P>B.(1)(3)</P>
<P>C.(2)(4)</P>
<P>D.(1)(4)</P>
",,D,,27,3,0,0
1,下列何者虚假交易的解释?,"<P>A.在香港或其他地方直接或间接订立或履行任何当中不涉实益拥有权转变的证券买卖交易,而该宗交易具有以下效果∶维持丶提高丶降低或稳定在有关认可市场交易的证券之价格,或引致有关证券的价格波动</P>
<P>B.任何人意图合到有关市场或透过使用自动化交易服务交易的证券或期货合约在交投上变得活跃的虚假或具误导性的现象</P>
<P>C.任何人披露丶传递或散发任何数据，而该数据的大意是某法团证券的价格或期货合约交易的价格，可能会因进行受禁交易，而得以维持丶提高丶降低或稳定</P>
<P>D.任何人意图诱使另一人购买或认购或不售卖其法团或其有联系法团的证券，而在香港或其他地方接或间接履行2宗或多于2宗买卖该法团的证券的交易,而该等交易本身或连同其他交易可能会提高丶降低丶维持或稳定任何证券的价格</P>",,B,,28,3,0,0
1,市场失当行为审裁处可对市场失当行为的人士施加以下哪项制裁?,"<P>A.判罚最多100万港元的罚款丶而该罚款向证监会交</P>
<P>B.判监不超过3年</P>
<P>C.禁止其不超5年期间内于香港市场进行投资</P>
<P>D.强制履行令要求违法者必须履行他没有履行的责任</P>",,C,,28,3,0,0
1,以下那一项并没有在《证券期货条例》下明确地界定为市场失当行为?,"<P>A.老鼠仓活动</P>
<P>B.内幕交易</P>
<P>C.被露虚假或具误导性的资料</P>
<P>D.操纵证券市场</P>",,A,,28,3,0,0
1,"触犯市场失当行为的人士一经循公诉程序定罪,最高可罚款()及判监()年","<P>A.100万港元,3年/<P>
<P>B.3倍,3年/<P>
<P>C.1,000万港元,10年/<P>
<P>D.10倍,10年/<P>
",,C,,28,3,0,0
1,下列哪一项不是《证券及期货条例》所指的市场失当行为罪行?,"<P>A.操控价格</P>
<P>B.虚假交易</P>
<P>C.企业管治失当</P>
<P>D.操纵证券市场</P>
",,C,,28,3,0,0
1,《证券及期货条例》对市场失当行为的定义包括（）<P>(1)虚假交易</P><P>(2)扒头交易</P><P>(3)披露关于受禁交易的数据</P><P>(4)企业管治失当</P>,"<P>A.只有(1)和(2)</P>
<P>B.只有(2)和(4)</P>
<P>C.只有(1)和(3)</P>
<P>D.只有(1)(3)和(4)</P>
",,C,,28,3,0,0
1,「虚售交易」是指:(),"<P>A.某人出售或购买的证券,在名称数量和价格上与其有联系人士出售或购买大致相同</P>
<P>B.某人涉及证券买卖,但其实益拥有权并无转变</P>
<P>C.罔顾后果地抬高及降低某证券价格</P>
<P>D.意图影响其他人的投资决定</P>
",,B,,28,3,0,0
1,"根据《证券及期货条例》,市场失当行为可区分为以下哪(几)类?()<P>(1)轻微罪行</P><P>(2)民事诉讼</P><P>(3)严重罪行</P><P>(4)刑事罪行</P>","<p>A．(1)(3)</p>
<p>B.(2)(4)</p>
<p>C.(3)(4)</p>
<p>D.(1)(2)(3)(4)</p>
",,B,,28,3,0,0
1,市场失当行为审裁处的采证标准是引用:(),"<P>A.「无合理疑点」</P>
<P>B.「合理疑点」</P>
<P>C.「无相对可能性」</P>
<P>D.「相对可能性」</P>
",,D,,28,3,0,0
1,"某人蓄意进行证券买卖,但证券实益拥有权并无转变属于以下哪项市场失当行为?()","<p>A.操控价格</p>
<p>B.虚构交易</p>
<p>C.虚售交易</p>
<p>D.对销交易</p>
",,C,,28,3,0,0
1,"检举市场失当行为的「双轨制度」,是指以下哪一项?()","<p>A.在「双轨制度」下,可对同一人就同一市场失当行为同时提出在市场失当行为审裁处进行研讯及提出刑事检控</p>
<p>B.「双轨制度」是指金管局与证监会同时监管证券业的制度</p>
<p>C.「双轨制度」是指,不能对同一人就同一市场失当行为同时提出在市场失当行为审裁处进行研讯及提出刑事检控</p>
<p>D.在「双轨制度」下,容许干犯市场失当行为的人士,自由选择以罚款方式向监管机构缴付有关款项作了事或面对法院的审讯</p>
",,,,28,3,0,0
1,"以下哪(几)项对市场失当行为的陈述并不正确?（）<P>(1)作出市场失当行为的人士,一经刑事诉讼定罪,法庭不可再施加冷淡对待令或取消资格令</P><P>(2)目标人士未进行审截聆讯或刑事定罪，受影响人士不能向目标人士提出民事诉讼</P><P>(3)目标人土经简易程序定罪,最高可判罚5年监禁及罚款(1)0万港元</P><P>(4)证监会可循简易程序就轻微案件在区域祛院提出捡控</P>
","<P>A.(3)</P>
<P>B.(2)(3)</P>
<P>C.(1)(2)(3)(4)</P>
<P>D.以上皆正确</P>
",,c,,28,3,0,0
1,市场失当行为审裁处的主席由谁出任?(),"<P>A.证监会主席</P>
<P>B.财政司司长</P>
<P>C.法官</P>
<P>D.香港特区行政长官</P>

",,C,,28,3,0,0
